Line #,Reward Date,Investment Amount,Reward Amount,Total Reward Amount To Date,Staking Reward Rate
1,2019-4-23,25.000000,0.051415,0.051415,10.00%
2,2019-5-23,25.051415,0.196271,0.247687,10.00%
3,2019-6-23,25.247687,0.204403,0.452089,10.00%
4,2019-7-23,25.452089,0.199410,0.651500,10.00%
5,2019-8-23,25.651500,0.207672,0.859172,10.00%
6,2019-9-23,25.859172,0.209353,1.068525,10.00%
7,2019-10-23,26.068525,0.204240,1.272765,10.00%
8,2019-11-23,26.272765,0.212987,1.485752,10.00%
9,2019-12-23,26.485752,0.207509,1.693261,10.00%
10,2020-1-23,26.693261,0.216106,1.909367,10.00%
11,2020-2-23,26.909367,0.217855,2.127222,10.00%
12,2020-3-23,27.127222,0.205450,2.332672,10.00%
13,2020-4-23,27.332672,0.220985,2.553657,10.00%
14,2020-5-23,27.553657,0.215876,2.769533,10.00%
15,2020-6-23,27.769533,0.224819,2.994352,10.00%
16,2020-7-23,27.994352,0.219328,3.213680,10.00%
17,2020-8-23,28.213680,0.228415,3.442095,10.00%
18,2020-9-23,28.442095,0.230264,3.672360,10.00%
19,2020-10-23,28.672360,0.224640,3.897000,10.00%
20,2020-11-23,28.897000,0.234261,4.131262,10.00%
21,2020-12-23,29.131262,0.228236,4.359497,10.00%
22,2021-1-23,29.359497,0.237691,4.597189,10.00%
23,2021-2-23,29.597189,0.239616,4.836804,10.00%
24,2021-3-23,29.836804,0.218179,5.054984,10.00%
25,2021-4-15,30.054984,0.181183,5.236167,10.00%
